"users","sessions","adClicks","adCost","revenue"
0,343.501904761905,417,64.32,382.79
0,343.501904761905,422,64,561.79
0,343.501904761905,405,62.59,987.59
0,343.501904761905,388,61.92,506.33
0,343.501904761905,380,60.35,324.46
3,3,351,54.24,530.36
0,343.501904761905,354,53.47,186.97
0,343.501904761905,381,58.82,398.05
0,343.501904761905,359,57.26,400.02
0,343.501904761905,337,52.49,197.93
0,343.501904761905,328,52.35,473.69
3,3,336,51.98,291.94
1,1,354,51.88,161.94
1,1,376,55.22,550.05
15,15,359,53.12,212.86
0,343.501904761905,348,51.6,67.95
0,343.501904761905,317,45.33,497.22
10,10,397,61.38,25.97
0,343.501904761905,384,58.98,316.87
0,343.501904761905,402,59.15,198.43
0,343.501904761905,381,62.08,446.4
1,1,390,62.69,591.27
18,18,398,61.41,364.56
28,28,389,63,381.34
1,1,616,89.73,551.23
11,11,588,80.22,603.25
0,343.501904761905,596,80.42,360.81
69,69,629,84.78,979.06
11,11,622,83.77,456.62
20,20,591,83.43,1016.74
1,2,599,82.24,372.68
0,343.501904761905,580,79.01,462.16
0,343.501904761905,590,79.25,204.33
0,343.501904761905,589,79.49,324.81
0,343.501904761905,614,80.73,555.7
0,343.501904761905,594,83.05,63.96
0,343.501904761905,603,82.66,556.13
1,1,598,81.49,336.36
29,29,595,78.8,258.92
0,343.501904761905,579,78.17,542.8
22,22,580,77.87,290.28
51,51,625,81.73,1380.75
0,343.501904761905,595,81.11,844.88
0,343.501904761905,586,80.86,732.97
0,343.501904761905,605,79.94,495.66
0,343.501904761905,587,76.3,527.36
0,343.501904761905,560,72.34,337.6
0,343.501904761905,559,72.27,715.02
0,343.501904761905,650,89.88,864.85
0,343.501904761905,661,88.49,553.53
0,343.501904761905,673,87.86,799.61
0,343.501904761905,668,86.7,320.43
0,343.501904761905,630,83.17,486.89
0,343.501904761905,625,83.29,426.19
0,343.501904761905,652,83.16,329.97
0,343.501904761905,648,88.96,1182.48
0,343.501904761905,637,87.82,885.19
0,343.501904761905,612,85.98,614.74
0,343.501904761905,631,85.83,893.43
0,343.501904761905,603,82.39,505.19
0,343.501904761905,606,82.31,853.97
0,343.501904761905,606,82.74,211.41
0,343.501904761905,641,84.01,707.29
0,343.501904761905,638,84.68,997.12
0,343.501904761905,624,85.19,1380.2
0,343.501904761905,628,84.46,897.56
0,343.501904761905,610,81.86,172.89
0,343.501904761905,613,81.38,670.11
0,343.501904761905,595,81.27,213.51
0,343.501904761905,618,85.48,315.89
0,343.501904761905,623,84.91,146.37
0,343.501904761905,592,83.35,484.7
0,343.501904761905,599,82.58,695.53
0,343.501904761905,606,79.75,698.43
0,343.501904761905,622,78.46,588.44
1,1,602,77.97,451.61
0,343.501904761905,587,78.11,1095.54
0,343.501904761905,621,83.46,1315.04
0,343.501904761905,593,81.41,516.22
0,343.501904761905,592,80.66,434.76
0,343.501904761905,588,78.09,472.64
0,343.501904761905,586,78.19,652.09
1,1,617,78.51,329.35
0,343.501904761905,625,82.92,1056.45
0,343.501904761905,629,82.54,325.03
0,343.501904761905,593,81.25,982.12
0,343.501904761905,582,79.73,918.16
0,343.501904761905,198,26.01,47.99
0,343.501904761905,603,80.03,214.08
0,343.501904761905,659,84.19,860.65
0,343.501904761905,636,83.8,493.63
1,1,633,82.65,346.55
0,343.501904761905,603,81.23,525.54
0,343.501904761905,577,79.1,241.35
0,343.501904761905,604,79.14,324.54
0,343.501904761905,578,79.22,508.44
0,343.501904761905,646,84.01,345.02
1,1,643,82.8,171.86
1,1,632,80.54,611.81
1,1,605,79.85,483.78
1,1,599,77.58,1092.61
0,343.501904761905,576,77.22,221.89
1,1,577,77.53,694.48
1,1,587,78.57,947.22
1,1,593,79.1,684.66
0,343.501904761905,590,77.19,995.54
0,343.501904761905,563,75.89,570.09
1,1,633,81.27,500.61
0,343.501904761905,632,81.05,511.59
2,2,632,81.44,324.32
0,343.501904761905,674,86.99,1206.9
1,1,660,85.73,987.81
0,343.501904761905,611,85.29,863.62
0,343.501904761905,592,82.87,532.47
0,343.501904761905,636,80.97,512.41
0,343.501904761905,636,80.44,118.96
0,343.501904761905,621,80.56,1212.9
1,1,667,85.89,968.21
1,1,671,84.65,959.9
1,1,648,83.77,595.75
0,343.501904761905,643,82.34,818.13
0,343.501904761905,624,79.33,164.79
0,343.501904761905,631,79.46,1087.89
0,343.501904761905,603,79.19,679.51
0,343.501904761905,671,84.8,1316.09
1,1,661,83.65,900.64
0,343.501904761905,651,82.53,595.47
0,343.501904761905,679,81.14,933.97
0,343.501904761905,638,77.59,1267.52
24,24,649,77.58,305.94
0,343.501904761905,672,77.62,489.47
2,2,661,82.33,856.06
2,2,672,80.54,758.12
1,1,660,80.33,1287.57
0,343.501904761905,646,78.66,973.27
0,343.501904761905,631,75.73,1061.82
0,343.501904761905,609,68.22,337.54
0,343.501904761905,680,78.5,1219.34
0,343.501904761905,746,85.08,764.12
0,343.501904761905,737,83.78,741.47
1,1,721,82.86,881.73
0,343.501904761905,701,81.25,517.23
0,343.501904761905,619,77.67,407.62
0,343.501904761905,686,77.77,705.95
1,1,678,77.74,1060.72
1,1,710,83.84,1085.68
0,343.501904761905,744,83.62,914.62
0,343.501904761905,709,81.74,1413.49
0,343.501904761905,669,80.88,285.91
0,343.501904761905,680,76.73,1747.77
0,343.501904761905,637,76.74,549.02
0,343.501904761905,652,76.72,635.65
0,343.501904761905,692,82.83,990.72
0,343.501904761905,708,81.61,633.54
0,343.501904761905,699,80.88,922.04
1,1,674,79.38,620.96
0,343.501904761905,645,75.15,685.82
0,343.501904761905,665,75.31,593.49
0,343.501904761905,636,75.71,343.45
1,1,428,51.55,396.78
29,29,0,67.3008857142857,79.98
0,343.501904761905,0,67.3008857142857,40.97
29,29,0,67.3008857142857,127.88
0,343.501904761905,0,67.3008857142857,63.52
0,343.501904761905,0,67.3008857142857,242.91
1,1,0,67.3008857142857,571.86
0,343.501904761905,131,20.03,900.36
0,343.501904761905,545,78.31,1403.35
0,343.501904761905,566,83.38,1033.66
0,343.501904761905,562,83.44,487.84
0,343.501904761905,547,80.98,822.63
30,30,520,81.16,676.3
0,343.501904761905,515,80.87,1041.83
0,343.501904761905,567,85.97,1145.86
0,343.501904761905,585,85.78,557.76
0,343.501904761905,692,84.53,838.77
0,343.501904761905,702,82.76,772.5
0,343.501904761905,699,80.93,436.37
0,343.501904761905,680,80.11,389.57
0,343.501904761905,655,80.03,678.17
29,29,718,85.1,1030.01
29,29,695,84.19,597.71
0,343.501904761905,666,82.82,1205.89
0,343.501904761905,723,80.93,797.26
0,343.501904761905,696,79.16,1009.64
0,343.501904761905,679,79.36,315.43
0,343.501904761905,658,79.23,695.15
0,343.501904761905,711,84,619.97
0,343.501904761905,702,82.56,397.73
30,30,719,81.37,847.59
0,343.501904761905,697,80.25,521.38
0,343.501904761905,639,77.82,193.91
0,343.501904761905,668,77.81,259.69
0,343.501904761905,663,77.53,187.83
0,343.501904761905,670,79.2,371.5
1,5,671,77.8,410.94
0,343.501904761905,648,77.35,434.47
0,343.501904761905,650,75.63,433.25
0,343.501904761905,675,78.47,1295.85
0,343.501904761905,670,78.54,831.31
0,343.501904761905,700,78.6,1077.32
0,343.501904761905,656,78.34,588.74
0,343.501904761905,668,80.34,652.92
0,343.501904761905,682,83.04,330.29
29,29,679,81.83,522.14
0,343.501904761905,661,78.13,752.11
0,343.501904761905,671,78.11,252.36
0,343.501904761905,661,78,310.83
0,343.501904761905,672,84.38,598.09
0,343.501904761905,726,86.21,1050.48
30,30,734,85.43,443.76
0,343.501904761905,730,84.48,641.85
0,343.501904761905,704,80.89,476.19
0,343.501904761905,720,81.03,379.9
0,343.501904761905,705,81.21,375.69
0,343.501904761905,732,87,514.45
28,28,755,85.63,1441.14
1,1,768,85.67,847.09
0,343.501904761905,755,84.32,1347.46
0,343.501904761905,744,81.22,550.03
0,343.501904761905,716,79.03,818.89
0,343.501904761905,702,79.7,844.72
0,343.501904761905,746,84.44,1176.29
6,6,773,84.81,981.76
0,343.501904761905,765,83.62,1495.21
1,1,750,81.81,347.9
0,343.501904761905,713,79.26,660.64
0,343.501904761905,645,71.58,288.5
23,23,640,70.64,363.69
1,1,759,83.38,1031.06
0,343.501904761905,703,82.51,1291.43
0,343.501904761905,744,81.55,996.8
1,1,706,79.84,363.21
0,343.501904761905,721,78.15,689.7
2,2,719,78.07,1262.03
0,343.501904761905,711,78.06,323.16
25,25,728,83.35,743.16
0,343.501904761905,768,81.73,921.95
0,343.501904761905,730,80.7,405.91
0,343.501904761905,695,79.37,639.21
0,343.501904761905,664,77.39,825.93
0,343.501904761905,633,77.61,576.66
0,343.501904761905,698,77.18,398.94
0,343.501904761905,758,82.33,888.3
0,343.501904761905,785,81.49,873.52
9,9,771,79.79,1144.74
1,1,717,78.81,1465.02
9,9,126,14.54,654.08
9,9,0,67.3008857142857,413.51
0,343.501904761905,0,67.3008857142857,61.94
0,343.501904761905,0,67.3008857142857,225.87
1,1,0,67.3008857142857,543.88
8,8,863,91.37,416.16
0,343.501904761905,873,95.96,872.35
2,2,846,93.43,540.79
0,343.501904761905,790,91.09,616.22
0,343.501904761905,785,89.74,412.32
10,10,755,84.85,503.51
0,343.501904761905,804,87.59,1381.09
1,1,805,90.87,1033.54
0,343.501904761905,736,82.31,2049.93
0,343.501904761905,696,77.32,450.83
0,343.501904761905,754,80.6,315.97
0,343.501904761905,677,77.27,561.32
0,343.501904761905,722,82.06,350.77
0,343.501904761905,720,81.19,479.14
0,343.501904761905,706,78.89,748.37
0,343.501904761905,746,83.2,972.23
0,343.501904761905,743,81.45,764
0,343.501904761905,756,81.72,580.74
0,343.501904761905,703,81.61,901.08
0,343.501904761905,756,86.66,906.61
0,343.501904761905,736,85.3,817.5
0,343.501904761905,751,83.62,597
0,343.501904761905,766,82.94,802.92
0,343.501904761905,732,80.56,818.19
0,343.501904761905,723,81.02,454.69
0,343.501904761905,722,80.75,557.67
0,343.501904761905,733,84.22,384.61
0,343.501904761905,736,83.33,906.3
0,343.501904761905,731,81.95,299.72
0,343.501904761905,739,81.09,1226.07
0,343.501904761905,711,79.14,379.09
0,343.501904761905,719,79.25,551.2
0,343.501904761905,716,79.31,475.87
1,1,742,81.53,825.64
0,343.501904761905,745,80.92,1591.94
0,343.501904761905,736,79.58,857.04
0,343.501904761905,683,78.08,884.51
0,343.501904761905,688,75.24,828.28
0,343.501904761905,728,78.55,1096.84
0,343.501904761905,695,78.51,501.04
0,343.501904761905,740,83.63,397.8
0,343.501904761905,724,83.4,644.42
0,343.501904761905,741,81.6,767.78
0,343.501904761905,748,80.89,726.08
0,343.501904761905,712,78.34,703.6
0,343.501904761905,727,78.15,618.25
0,343.501904761905,700,77.98,652.73
0,343.501904761905,746,82.06,668.73
0,343.501904761905,697,81.87,639.64
18,18,720,80.7,801.35
10,10,743,79.71,694.49
0,343.501904761905,678,77.82,798.32
0,343.501904761905,599,65.93,461.89
0,343.501904761905,723,78.04,441.48
0,343.501904761905,744,83.39,898.63
0,343.501904761905,766,82.24,834.46
0,343.501904761905,726,81.03,656.8
0,343.501904761905,712,79.8,884.05
0,343.501904761905,691,76.16,538.19
0,343.501904761905,720,76.23,425.35
0,343.501904761905,679,76.52,217.77
0,343.501904761905,754,81.05,675.22
0,343.501904761905,716,80.11,306.48
0,343.501904761905,712,79.6,299.6
0,343.501904761905,703,78.3,326.86
0,343.501904761905,699,76.76,585.59
7,7,641,71.36,404.42
0,343.501904761905,640,71.44,331.84
0,343.501904761905,662,70.9,1058.54
9,9,769,81.37,410.51
0,343.501904761905,722,81.32,939.07
0,343.501904761905,749,81.01,687.59
0,343.501904761905,720,81.27,455.21
0,343.501904761905,764,81.44,649.5
0,343.501904761905,737,81.1,412.09
0,343.501904761905,737,81.23,441.59
10,10,727,79.55,609.35
9,9,729,78.04,435.67
0,343.501904761905,771,81.27,516.97
1,1,777,81.36,766.05
11,11,746,81.31,690.75
0,343.501904761905,734,81.54,498.13
1,2,794,82.94,327.93
1,3,722,82.08,374.81
1,3,741,81.44,1048.99
0,343.501904761905,724,81.03,337.9
2,9,718,80.97,214.22
2,6,723,81.1,370.2
11,15,704,80.82,170.44
3,13,707,80,407.43
3,7,670,78.37,831.3
3,10,657,71.36,348.99
11,19,555,66.03,1208.84
2,6,643,74.69,598.96
10,13,703,78.84,750.94
2,7,732,77.53,298.91
665,782,797,90.26,2612.03
917,1102,760,84.7,608.79
877,1039,717,82.86,1285.64
931,1148,768,86.53,1277.89
867,1040,730,84.17,660.09
835,958,689,78.29,350.4
843,1010,694,79.69,958.01
922,1079,767,89.76,440.3
921,1096,765,88.44,890.44
921,1090,768,87.91,654.66
958,1126,757,86.12,222.75
857,1025,757,83.24,470.4
820,956,675,76.06,548.74
829,956,704,79.82,414.08
915,1082,762,87.03,372.97
935,1138,783,86.58,961.64
863,1024,720,83.61,654.92
847,1007,703,81.7,386.63
842,983,675,79.53,575.85
787,934,663,73.18,1205.3
782,935,653,75.61,916.68
854,1018,726,84.3,724.52
812,961,713,80.74,518.49
819,990,692,78.14,755.21
779,924,662,74.77,394.57
718,830,588,68.05,908.38
628,749,563,66.27,47.68
606,713,527,63.51,259.02
789,940,673,76.74,473.86
801,935,654,76.12,522.26
798,934,654,76.28,572.01
776,915,642,74.04,1047.59
766,891,618,69.34,563.17
617,704,493,56.37,560.01
791,969,689,78.88,441.38
871,1018,749,82.49,872.86
836,984,703,82.12,523.76
844,1009,704,81.62,561.17
888,1047,730,81.75,621.62
825,1000,683,78.4,700
808,982,685,78.21,1030.56
821,931,708,77.76,530.66
848,977,727,82.67,192.03
843,973,694,81.82,409.5
874,1039,727,81.06,977.93
858,1006,731,79.35,1004.04
858,993,694,77.79,528.78
824,999,684,77.22,707.22
833,1010,690,77.1,816.1
872,1065,730,78.87,514.1
839,1006,691,80.61,922.27
838,966,712,80.8,288.9
826,948,709,79.29,457.35
796,934,664,75.84,815.8
865,998,707,76.83,426.51
806,940,665,76.47,568.81
824,995,692,79.31,1381.2
784,950,658,78.18,907.88
792,934,674,77.75,1224.94
813,929,663,77.55,295.63
872,1027,656,74.52,459.49
790,949,681,74.46,370.42
786,919,653,74.55,255.87
793,927,656,75.21,641.18
787,927,624,73.5,551.87
947,1121,771,90.17,1279.51
939,1132,780,89.74,866.02
907,1095,751,86.9,1203.26
912,1097,774,86.99,505.23
865,1005,757,86.7,418.78
895,1061,780,91.94,300.71
969,1114,809,92.23,538.13
949,1127,817,90.59,890.49
959,1132,827,89.68,603.54
941,1085,791,85.92,649.29
950,1100,804,85.77,813.33
936,1076,781,85.76,487.71
929,1106,789,90.28,816.88
930,1098,796,82.65,810.64
961,1122,815,88.29,716.16
996,1164,841,88.24,532.64
980,1140,802,84.98,549.13
948,1130,849,85.29,824.15
982,1184,842,85.29,1001.93
1020,1205,847,88.9,966.25
977,1174,817,87.88,1720.82
1035,1258,840,87.62,1190.32
963,1102,812,86.25,421.77
958,1104,804,82.92,769.59
927,1086,772,82.75,682.07
942,1132,781,82.74,894.63
955,1129,772,82.93,1095.73
904,1086,776,82.67,704.37
901,1082,752,81.98,724.81
906,1090,758,80.48,1130.52
997,1152,795,78.72,701.55
906,1100,746,78.62,656.41
923,1092,748,78.51,558.69
992,1169,796,83.22,351.24
950,1128,806,82.18,645.04
955,1119,806,81.1,870.15
960,1123,827,79.61,411.35
892,1087,748,78.3,567.89
879,1054,726,78.38,477.91
910,1070,754,77.88,726.23
955,1185,798,81.69,422.1
950,1111,743,79.92,388.1
978,1160,803,79.59,1097.05
965,1162,768,77.89,992.68
915,1086,766,77.5,1076.08
894,1053,767,76.97,457.84
893,1040,774,77,652.48
938,1124,779,80.74,719.85
916,1082,791,79.65,478.32
932,1108,769,78.69,662.45
963,1111,795,77.63,617.84
885,1037,741,76.26,625.39
882,1018,718,75.93,742.14
888,1040,724,75.76,747.11
881,1042,734,77.88,699.58
928,1108,722,76.73,571.7
834,977,701,76.32,1009.85
866,1030,708,75.28,470.63
868,1049,702,71.39,713.78
