"","Series 1"
"456",1297.76
"457",281.11
"458",435.37
"459",697.1
"460",418.79
"461",301.02
"462",997.85
"463",359.95
"464",581.61
"465",418.29
"466",142.94
"467",291.96
"468",657.15
"469",979.83
"470",330.88
"471",515.38
"472",587.92
"473",355.95
"474",304.01
"475",508.84
"476",457.43
"477",435.42
"478",518.88
"479",1233.66
"480",723.18
"481",713.82
"482",1688.99
"483",948.62
"484",924.69
"485",1545.75
"486",1173.05
"487",659.38
"488",239.75
"489",1508.26
"490",820.68
"491",655.8
"492",95.77
"493",1231.99
"494",388.24
"495",837.89
"496",155.93
"497",1009.43
"498",632.92
"499",892.35
"500",462.49
"501",444.53
"502",242.05
"503",508.43
"504",380.01
"505",903.59
"506",373.98
"507",631.1
"508",276.86
"509",466.75
"510",497
"511",1352.1
"512",358.55
"513",527.19
"514",317.88
"515",154.97
"516",290.86
"517",995.73
"518",237.81
"519",577.08
"520",671.99
"521",1353.28
"522",267.38
"523",672.6
"524",233.95
"525",251.39
"526",435.8
"527",556.8
"528",809.87
"529",1111.59
"530",176.95
"531",826.15
"532",544.85
"533",547.94
"534",678.25
"535",161.26
"536",223.89
"537",486.89
"538",374.35
"539",1213.32
"540",578.51
"541",693.63
"542",183.99
"543",96.97
"544",91.98
"545",369.98
"546",590.77
"547",231.97
"548",155.48
"549",278.67
"550",535.73
"551",427.95
"552",383.9
"553",473.94
"554",553.54
"555",311.96
"556",447.62
"557",176.96
"558",184.63
"559",830.72
"560",823.52
"561",443.29
"562",279.98
"563",221.32
"564",388.65
"565",331.33
"566",573.96
"567",315.91
"568",686.24
"569",503.17
"570",611.82
"571",259.1
"572",440.19
"573",385.99
"574",1234.6
"575",2008.11
"576",684.9
"577",1106.49
"578",248.13
"579",195.44
"580",586.34
"581",342
"582",417.37
"583",589.46
"584",45.98
"585",362.9
"586",353.83
"587",690.86
"588",241.75
"589",439.92
"590",828.41
"591",640.15
"592",297.57
"593",282.49
"594",921.29
"595",1341.66
"596",508.45
"597",242.39
"598",193.81
"599",1250.64
"600",420.01
"601",464.96
"602",560.73
"603",523.79
"604",602.4
"605",1066.53
"606",831.69
"607",661.9
"608",505.91
"609",672.49
"610",577.21
"611",378.78
"612",201.81
"613",32.99
"614",223.95
"615",423.84
"616",452.37
"617",278.98
"618",939.11
"619",214.94
"620",190.92
"621",386.46
"622",256.92
"623",373.44
"624",410.88
"625",570.78
"626",149.85
"627",397.89
"628",194.44
"629",295.23
"630",367.59
"631",402.97
"632",510.91
"633",388.09
"634",1093.3
"635",309.06
"636",634.21
"637",576.52
"638",427.74
"639",545.89
"640",228.89
"641",522.18
"642",965.06
"643",1857.74
"644",184.79
"645",161.88
"646",564.27
"647",452.58
"648",201.91
"649",424
"650",901.01
"651",1269.04
"652",776.36
"653",472.92
"654",821.72
"655",318.6
"656",96.97
"657",71.98
"658",197.88
"659",223.94
"660",319.83
"661",546.19
"662",1143.75
"663",705.22
"664",926.83
"665",676.17
"666",90.98
"667",1127.18
"668",665.43
"669",232.89
"670",423.44
"671",207.71
"672",297.12
"673",474.51
"674",178.32
"675",279.65
"676",109.95
"677",382.79
"678",561.79
"679",987.59
"680",506.33
"681",324.46
"682",530.36
"683",186.97
"684",398.05
"685",400.02
"686",197.93
"687",473.69
"688",291.94
"689",161.94
"690",550.05
"691",212.86
"692",67.95
"693",497.22
"694",25.97
"695",316.87
"696",198.43
"697",446.4
"698",591.27
"699",364.56
"700",381.34
"701",551.23
"702",603.25
"703",360.81
"704",979.06
"705",456.62
"706",1016.74
"707",372.68
"708",462.16
"709",204.33
"710",324.81
"711",555.7
"712",63.96
"713",556.13
"714",336.36
"715",258.92
"716",542.8
"717",290.28
"718",1380.75
"719",844.88
"720",732.97
"721",495.66
"722",527.36
"723",337.6
"724",715.02
"725",864.85
"726",553.53
"727",799.61
"728",320.43
"729",486.89
"730",426.19
"731",329.97
"732",1182.48
"733",885.19
"734",614.74
"735",893.43
"736",505.19
"737",853.97
"738",211.41
"739",707.29
"740",997.12
"741",1380.2
"742",897.56
"743",172.89
"744",670.11
"745",213.51
"746",315.89
"747",146.37
"748",484.7
"749",695.53
"750",698.43
"751",588.44
"752",451.61
"753",1095.54
"754",1315.04
"755",516.22
"756",434.76
"757",472.64
"758",652.09
"759",329.35
"760",1056.45
"761",325.03
"762",982.12
"763",918.16
"764",47.99
"765",214.08
"766",860.65
"767",493.63
"768",346.55
"769",525.54
"770",241.35
"771",324.54
"772",508.44
"773",345.02
"774",171.86
"775",611.81
"776",483.78
"777",1092.61
"778",221.89
"779",694.48
"780",947.22
"781",684.66
"782",995.54
"783",570.09
"784",500.61
"785",511.59
"786",324.32
"787",1206.9
"788",987.81
"789",863.62
"790",532.47
"791",512.41
"792",118.96
"793",1212.9
"794",968.21
"795",959.9
"796",595.75
"797",818.13
"798",164.79
"799",1087.89
"800",679.51
"801",1316.09
"802",900.64
"803",595.47
"804",933.97
"805",1267.52
"806",305.94
"807",489.47
"808",856.06
"809",758.12
"810",1287.57
"811",973.27
"812",1061.82
"813",337.54
"814",1219.34
"815",764.12
"816",741.47
"817",881.73
"818",517.23
"819",407.62
"820",705.95
"821",1060.72
"822",1085.68
"823",914.62
"824",1413.49
"825",285.91
"826",1747.77
"827",549.02
"828",635.65
"829",990.72
"830",633.54
"831",922.04
"832",620.96
"833",685.82
"834",593.49
"835",343.45
"836",396.78
"837",79.98
"838",40.97
"839",127.88
"840",63.52
"841",242.91
"842",571.86
"843",900.36
"844",1403.35
"845",1033.66
"846",487.84
"847",822.63
"848",676.3
"849",1041.83
"850",1145.86
"851",557.76
"852",838.77
"853",772.5
"854",436.37
"855",389.57
"856",678.17
"857",1030.01
"858",597.71
"859",1205.89
"860",797.26
"861",1009.64
"862",315.43
"863",695.15
"864",619.97
"865",397.73
"866",847.59
"867",521.38
"868",193.91
"869",259.69
"870",187.83
"871",371.5
"872",410.94
"873",434.47
"874",433.25
"875",1295.85
"876",831.31
"877",1077.32
"878",588.74
"879",652.92
"880",330.29
"881",522.14
"882",752.11
"883",252.36
"884",310.83
"885",598.09
"886",1050.48
"887",443.76
"888",641.85
"889",476.19
"890",379.9
"891",375.69
"892",514.45
"893",1441.14
"894",847.09
"895",1347.46
"896",550.03
"897",818.89
"898",844.72
"899",1176.29
"900",981.76
"901",1495.21
"902",347.9
"903",660.64
"904",288.5
"905",363.69
"906",1031.06
"907",1291.43
"908",996.8
"909",363.21
"910",689.7
"911",1262.03
"912",323.16
"913",743.16
"914",921.95
"915",405.91
"916",639.21
"917",825.93
"918",576.66
"919",398.94
"920",888.3
"921",873.52
"922",1144.74
"923",1465.02
"924",654.08
"925",413.51
"926",61.94
"927",225.87
"928",543.88
"929",416.16
"930",872.35
"931",540.79
"932",616.22
"933",412.32
"934",503.51
"935",1381.09
"936",1033.54
"937",2049.93
"938",450.83
"939",315.97
"940",561.32
"941",350.77
"942",479.14
"943",748.37
"944",972.23
"945",764
"946",580.74
"947",901.08
"948",906.61
"949",817.5
"950",597
"951",802.92
"952",818.19
"953",454.69
"954",557.67
"955",384.61
"956",906.3
"957",299.72
"958",1226.07
"959",379.09
"960",551.2
"961",475.87
"962",825.64
"963",1591.94
"964",857.04
"965",884.51
"966",828.28
"967",1096.84
"968",501.04
"969",397.8
"970",644.42
"971",767.78
"972",726.08
"973",703.6
"974",618.25
"975",652.73
"976",668.73
"977",639.64
"978",801.35
"979",694.49
"980",798.32
"981",461.89
"982",441.48
"983",898.63
"984",834.46
"985",656.8
"986",884.05
"987",538.19
"988",425.35
"989",217.77
"990",675.22
"991",306.48
"992",299.6
"993",326.86
"994",585.59
"995",404.42
"996",331.84
"997",1058.54
"998",410.51
"999",939.07
"1000",687.59
"1001",455.21
"1002",649.5
"1003",412.09
"1004",441.59
"1005",609.35
"1006",435.67
"1007",516.97
"1008",766.05
"1009",690.75
"1010",498.13
"1011",327.93
"1012",374.81
"1013",1048.99
"1014",337.9
"1015",214.22
"1016",370.2
"1017",170.44
